date,y,#affected+arrivegreekislands.1,#affected+arrivemainlandgreece.1,#affected+arrivefyrom.1,#affected+arriveserbia.1,#affected+arrivecroatia.1,#affected+arrivehungary.1,#affected+arrivegreekislands.2,#affected+arrivemainlandgreece.2,#affected+arrivefyrom.2,#affected+arriveserbia.2,#affected+arrivecroatia.2,#affected+arrivehungary.2,#affected+arrivegreekislands.3,#affected+arrivemainlandgreece.3,#affected+arrivefyrom.3,#affected+arriveserbia.3,#affected+arrivecroatia.3,#affected+arrivehungary.3,#affected+arrivegreekislands.4,#affected+arrivemainlandgreece.4,#affected+arrivefyrom.4,#affected+arriveserbia.4,#affected+arrivecroatia.4,#affected+arrivehungary.4,#affected+arrivegreekislands.5,#affected+arrivemainlandgreece.5,#affected+arrivefyrom.5,#affected+arriveserbia.5,#affected+arrivecroatia.5,#affected+arrivehungary.5,#affected+arrivegreekislands.6,#affected+arrivemainlandgreece.6,#affected+arrivefyrom.6,#affected+arriveserbia.6,#affected+arrivecroatia.6,#affected+arrivehungary.6,#affected+arrivegreekislands.7,#affected+arrivemainlandgreece.7,#affected+arrivefyrom.7,#affected+arriveserbia.7,#affected+arrivecroatia.7,#affected+arrivehungary.7
27/03/2016,6,5,25,0,0,0,66,177,22,0,38,0,140,83,316,0,31,0,140,269,95,0,49,0,83,539,254,0,0,0,129,880,616,0,0,0,150,931,4314,0,0,0,66
28/03/2016,0,144,113,0,4,0,144,5,25,0,0,0,66,177,22,0,38,0,140,83,316,0,31,0,140,269,95,0,49,0,83,539,254,0,0,0,129,880,616,0,0,0,150
29/03/2016,5,161,0,0,42,0,255,144,113,0,4,0,144,5,25,0,0,0,66,177,22,0,38,0,140,83,316,0,31,0,140,269,95,0,49,0,83,539,254,0,0,0,129
30/03/2016,4,741,76,0,37,0,107,161,0,0,42,0,255,144,113,0,4,0,144,5,25,0,0,0,66,177,22,0,38,0,140,83,316,0,31,0,140,269,95,0,49,0,83
31/03/2016,0,267,11,0,21,0,194,741,76,0,37,0,107,161,0,0,42,0,255,144,113,0,4,0,144,5,25,0,0,0,66,177,22,0,38,0,140,83,316,0,31,0,140
01/04/2016,0,401,68,0,14,0,83,267,11,0,21,0,194,741,76,0,37,0,107,161,0,0,42,0,255,144,113,0,4,0,144,5,25,0,0,0,66,177,22,0,38,0,140
02/04/2016,0,555,102,0,28,0,96,401,68,0,14,0,83,267,11,0,21,0,194,741,76,0,37,0,107,161,0,0,42,0,255,144,113,0,4,0,144,5,25,0,0,0,66
03/04/2016,0,231,132,0,32,0,144,555,102,0,28,0,96,401,68,0,14,0,83,267,11,0,21,0,194,741,76,0,37,0,107,161,0,0,42,0,255,144,113,0,4,0,144
04/04/2016,0,262,105,0,10,0,61,231,132,0,32,0,144,555,102,0,28,0,96,401,68,0,14,0,83,267,11,0,21,0,194,741,76,0,37,0,107,161,0,0,42,0,255
05/04/2016,2,228,0,0,28,0,40,262,105,0,10,0,61,231,132,0,32,0,144,555,102,0,28,0,96,401,68,0,14,0,83,267,11,0,21,0,194,741,76,0,37,0,107
06/04/2016,0,28,31,0,0,0,133,228,0,0,28,0,40,262,105,0,10,0,61,231,132,0,32,0,144,555,102,0,28,0,96,401,68,0,14,0,83,267,11,0,21,0,194
07/04/2016,0,70,7,0,4,0,159,28,31,0,0,0,133,228,0,0,28,0,40,262,105,0,10,0,61,231,132,0,32,0,144,555,102,0,28,0,96,401,68,0,14,0,83
08/04/2016,0,157,32,0,58,0,116,70,7,0,4,0,159,28,31,0,0,0,133,228,0,0,28,0,40,262,105,0,10,0,61,231,132,0,32,0,144,555,102,0,28,0,96
09/04/2016,0,116,17,0,93,0,229,157,32,0,58,0,116,70,7,0,4,0,159,28,31,0,0,0,133,228,0,0,28,0,40,262,105,0,10,0,61,231,132,0,32,0,144
10/04/2016,0,59,14,0,8,0,17,116,17,0,93,0,229,157,32,0,58,0,116,70,7,0,4,0,159,28,31,0,0,0,133,228,0,0,28,0,40,262,105,0,10,0,61
11/04/2016,0,0,16,0,30,0,165,59,14,0,8,0,17,116,17,0,93,0,229,157,32,0,58,0,116,70,7,0,4,0,159,28,31,0,0,0,133,228,0,0,28,0,40
12/04/2016,0,75,64,0,34,0,101,0,16,0,30,0,165,59,14,0,8,0,17,116,17,0,93,0,229,157,32,0,58,0,116,70,7,0,4,0,159,28,31,0,0,0,133
13/04/2016,0,101,5,0,22,0,153,75,64,0,34,0,101,0,16,0,30,0,165,59,14,0,8,0,17,116,17,0,93,0,229,157,32,0,58,0,116,70,7,0,4,0,159
14/04/2016,0,30,10,0,3,0,82,101,5,0,22,0,153,75,64,0,34,0,101,0,16,0,30,0,165,59,14,0,8,0,17,116,17,0,93,0,229,157,32,0,58,0,116
15/04/2016,0,106,36,0,34,0,102,30,10,0,3,0,82,101,5,0,22,0,153,75,64,0,34,0,101,0,16,0,30,0,165,59,14,0,8,0,17,116,17,0,93,0,229
16/04/2016,0,79,0,0,90,0,168,106,36,0,34,0,102,30,10,0,3,0,82,101,5,0,22,0,153,75,64,0,34,0,101,0,16,0,30,0,165,59,14,0,8,0,17
17/04/2016,0,55,0,0,41,0,144,79,0,0,90,0,168,106,36,0,34,0,102,30,10,0,3,0,82,101,5,0,22,0,153,75,64,0,34,0,101,0,16,0,30,0,165
18/04/2016,0,107,34,0,15,0,79,55,0,0,41,0,144,79,0,0,90,0,168,106,36,0,34,0,102,30,10,0,3,0,82,101,5,0,22,0,153,75,64,0,34,0,101
